split,model,horizon_hours,constraint,seeds,mean,standard_deviation,minimum,maximum
external_test,rssm,24,emitted_O2Sat_bounds,1,8.64039408866995,0.0,8.64039408866995,8.64039408866995
external_test,rssm,24,emitted_SaO2_bounds,1,147.18062397372742,0.0,147.18062397372742,147.18062397372742
external_test,rssm,24,emitted_pressure_order,1,0.1756978653530377,0.0,0.1756978653530377,0.1756978653530377
external_test,rssm,24,pressure_order,1,2.9211822660098523,0.0,2.9211822660098523,2.9211822660098523
external_test,transformer,1,FiO2_bounds,1,2.5779967159277506,0.0,2.5779967159277506,2.5779967159277506
external_test,transformer,1,O2Sat_bounds,1,119.85385878489326,0.0,119.85385878489326,119.85385878489326
external_test,transformer,1,SaO2_bounds,1,8.425287356321839,0.0,8.425287356321839,8.425287356321839
external_test,transformer,1,emitted_FiO2_bounds,1,34.73070607553366,0.0,34.73070607553366,34.73070607553366
external_test,transformer,1,emitted_O2Sat_bounds,1,135.07224958949098,0.0,135.07224958949098,135.07224958949098
external_test,transformer,1,emitted_SaO2_bounds,1,213.89326765188835,0.0,213.89326765188835,213.89326765188835
external_test,transformer,1,emitted_pressure_order,1,112.79802955665023,0.0,112.79802955665023,112.79802955665023
external_test,transformer,1,pressure_order,1,103.07717569786536,0.0,103.07717569786536,103.07717569786536
external_test,transformer,3,FiO2_bounds,1,4.888341543513957,0.0,4.888341543513957,4.888341543513957
external_test,transformer,3,O2Sat_bounds,1,141.04105090311987,0.0,141.04105090311987,141.04105090311987
external_test,transformer,3,SaO2_bounds,1,21.41543513957307,0.0,21.41543513957307,21.41543513957307
external_test,transformer,3,emitted_FiO2_bounds,1,38.44991789819376,0.0,38.44991789819376,38.44991789819376
external_test,transformer,3,emitted_O2Sat_bounds,1,143.92446633825944,0.0,143.92446633825944,143.92446633825944
external_test,transformer,3,emitted_SaO2_bounds,1,208.70279146141215,0.0,208.70279146141215,208.70279146141215
external_test,transformer,3,emitted_pressure_order,1,152.5024630541872,0.0,152.5024630541872,152.5024630541872
external_test,transformer,3,pressure_order,1,142.23481116584566,0.0,142.23481116584566,142.23481116584566
external_test,transformer,6,FiO2_bounds,1,6.676518883415435,0.0,6.676518883415435,6.676518883415435
external_test,transformer,6,O2Sat_bounds,1,148.88177339901478,0.0,148.88177339901478,148.88177339901478
external_test,transformer,6,SaO2_bounds,1,35.71100164203612,0.0,35.71100164203612,35.71100164203612
external_test,transformer,6,emitted_FiO2_bounds,1,41.32183908045977,0.0,41.32183908045977,41.32183908045977
external_test,transformer,6,emitted_O2Sat_bounds,1,149.0706075533662,0.0,149.0706075533662,149.0706075533662
external_test,transformer,6,emitted_SaO2_bounds,1,203.7454844006568,0.0,203.7454844006568,203.7454844006568
external_test,transformer,6,emitted_pressure_order,1,172.8423645320197,0.0,172.8423645320197,172.8423645320197
external_test,transformer,6,pressure_order,1,161.69622331691298,0.0,161.69622331691298,161.69622331691298
external_test,transformer,12,FiO2_bounds,1,8.97208538587849,0.0,8.97208538587849,8.97208538587849
external_test,transformer,12,O2Sat_bounds,1,158.6600985221675,0.0,158.6600985221675,158.6600985221675
external_test,transformer,12,SaO2_bounds,1,55.54351395730706,0.0,55.54351395730706,55.54351395730706
external_test,transformer,12,emitted_FiO2_bounds,1,42.38095238095238,0.0,42.38095238095238,42.38095238095238
external_test,transformer,12,emitted_O2Sat_bounds,1,158.64203612479474,0.0,158.64203612479474,158.64203612479474
external_test,transformer,12,emitted_SaO2_bounds,1,191.19868637110017,0.0,191.19868637110017,191.19868637110017
external_test,transformer,12,emitted_pressure_order,1,201.4893267651888,0.0,201.4893267651888,201.4893267651888
external_test,transformer,12,pressure_order,1,189.2282430213465,0.0,189.2282430213465,189.2282430213465
external_test,transformer,24,FiO2_bounds,1,11.170771756978654,0.0,11.170771756978654,11.170771756978654
external_test,transformer,24,O2Sat_bounds,1,169.4630541871921,0.0,169.4630541871921,169.4630541871921
external_test,transformer,24,SaO2_bounds,1,79.2807881773399,0.0,79.2807881773399,79.2807881773399
external_test,transformer,24,emitted_FiO2_bounds,1,37.79474548440066,0.0,37.79474548440066,37.79474548440066
external_test,transformer,24,emitted_O2Sat_bounds,1,168.8144499178982,0.0,168.8144499178982,168.8144499178982
external_test,transformer,24,emitted_SaO2_bounds,1,176.4975369458128,0.0,176.4975369458128,176.4975369458128
external_test,transformer,24,emitted_pressure_order,1,235.6912972085386,0.0,235.6912972085386,235.6912972085386
external_test,transformer,24,pressure_order,1,221.3727422003284,0.0,221.3727422003284,221.3727422003284
internal_test,global_median,1,pressure_order,1,0.0,0.0,0.0,0.0
internal_test,global_median,3,pressure_order,1,0.0,0.0,0.0,0.0
internal_test,global_median,6,pressure_order,1,0.0,0.0,0.0,0.0
internal_test,global_median,12,pressure_order,1,0.0,0.0,0.0,0.0
internal_test,global_median,24,pressure_order,1,0.0,0.0,0.0,0.0
internal_test,grud,1,FiO2_bounds,1,1.924946529263076,0.0,1.924946529263076,1.924946529263076
