evaluation,split,model,seed,horizon_hours,metric,value
zero_shot,internal_test,grud,20260914,12,coverage_90,0.8469733857744373
zero_shot,internal_test,grud,20260914,12,coverage_error_90,0.05302661422556276
zero_shot,internal_test,grud,20260914,12,mean_interval_width_scaled,1.8699167246105133
zero_shot,internal_test,grud,20260914,12,patient_nll,1.0370273587856524
zero_shot,internal_test,grud,20260914,12,mask_brier,0.07276680769523156
zero_shot,internal_test,grud,20260914,24,patient_nmae,0.5481575957860583
zero_shot,internal_test,grud,20260914,24,patient_crps,0.40103430207777696
zero_shot,internal_test,grud,20260914,24,coverage_90,0.8435889053075025
zero_shot,internal_test,grud,20260914,24,coverage_error_90,0.0564110946924975
zero_shot,internal_test,grud,20260914,24,mean_interval_width_scaled,2.0129857776884847
zero_shot,internal_test,grud,20260914,24,patient_nll,1.1596625966534586
zero_shot,internal_test,grud,20260914,24,mask_brier,0.07425433044016078
zero_shot,external_test,grud,20260914,1,patient_nmae,0.37698672620017126
zero_shot,external_test,grud,20260914,1,patient_crps,0.2837777880487245
zero_shot,external_test,grud,20260914,1,coverage_90,0.8610791998129335
zero_shot,external_test,grud,20260914,1,coverage_error_90,0.03892080018706656
zero_shot,external_test,grud,20260914,1,mean_interval_width_scaled,1.468008279885636
zero_shot,external_test,grud,20260914,1,patient_nll,0.8128895811893221
zero_shot,external_test,grud,20260914,1,mask_brier,0.06338768078127022
zero_shot,external_test,grud,20260914,3,patient_nmae,0.43597354339631755
zero_shot,external_test,grud,20260914,3,patient_crps,0.32489394140075833
zero_shot,external_test,grud,20260914,3,coverage_90,0.8537445074155533
zero_shot,external_test,grud,20260914,3,coverage_error_90,0.04625549258444672
zero_shot,external_test,grud,20260914,3,mean_interval_width_scaled,1.6502404519884584
zero_shot,external_test,grud,20260914,3,patient_nll,0.9072801079099108
zero_shot,external_test,grud,20260914,3,mask_brier,0.06047569339262788
zero_shot,external_test,grud,20260914,6,patient_nmae,0.4819988613928114
zero_shot,external_test,grud,20260914,6,patient_crps,0.35748385518720804
zero_shot,external_test,grud,20260914,6,coverage_90,0.8457986369521476
zero_shot,external_test,grud,20260914,6,coverage_error_90,0.05420136304785239
zero_shot,external_test,grud,20260914,6,mean_interval_width_scaled,1.7874465343997554
zero_shot,external_test,grud,20260914,6,patient_nll,1.0267775256288842
zero_shot,external_test,grud,20260914,6,mask_brier,0.061480238198321276
zero_shot,external_test,grud,20260914,12,patient_nmae,0.5197925520773483
zero_shot,external_test,grud,20260914,12,patient_crps,0.38362070761199424
zero_shot,external_test,grud,20260914,12,coverage_90,0.846212087104838
zero_shot,external_test,grud,20260914,12,coverage_error_90,0.05378791289516205
zero_shot,external_test,grud,20260914,12,mean_interval_width_scaled,1.9238653349506736
zero_shot,external_test,grud,20260914,12,patient_nll,1.1085797635850974
zero_shot,external_test,grud,20260914,12,mask_brier,0.061442995692068264
zero_shot,external_test,grud,20260914,24,patient_nmae,0.5563406045879643
zero_shot,external_test,grud,20260914,24,patient_crps,0.40948229757764254
zero_shot,external_test,grud,20260914,24,coverage_90,0.8477544857327846
zero_shot,external_test,grud,20260914,24,coverage_error_90,0.052245514267215465
zero_shot,external_test,grud,20260914,24,mean_interval_width_scaled,2.055041914461151
zero_shot,external_test,grud,20260914,24,patient_nll,1.1728165350968343
zero_shot,external_test,grud,20260914,24,mask_brier,0.06512483990771613
recalibrated,external_test,grud,20260914,1,patient_nmae,0.3769867258814907
recalibrated,external_test,grud,20260914,1,patient_crps,0.28802659183827545
recalibrated,external_test,grud,20260914,1,coverage_90,0.8970613521056667
recalibrated,external_test,grud,20260914,1,coverage_error_90,0.0029386478943332905
recalibrated,external_test,grud,20260914,1,mean_interval_width_scaled,1.6821380280295555
recalibrated,external_test,grud,20260914,1,patient_nll,0.7880072596935012
recalibrated,external_test,grud,20260914,1,mask_brier,0.06338768078127022
recalibrated,external_test,grud,20260914,3,patient_nmae,0.43597354293040386
recalibrated,external_test,grud,20260914,3,patient_crps,0.32753778796677424
recalibrated,external_test,grud,20260914,3,coverage_90,0.8834720644974018
recalibrated,external_test,grud,20260914,3,coverage_error_90,0.016527935502598234
recalibrated,external_test,grud,20260914,3,mean_interval_width_scaled,1.8250670933095363
